iter	Logloss
0	0.6904413288
1	0.6878221189
2	0.6853300236
3	0.6833355439
4	0.6812344737
5	0.6793822597
6	0.6777055665
7	0.6759307056
8	0.6744132687
9	0.6729362994
10	0.6717288557
11	0.6705576682
12	0.6694292718
13	0.6681666935
14	0.6672190457
15	0.6663015066
16	0.665176063
17	0.6643186927
18	0.6635181513
19	0.6626045815
20	0.661829405
21	0.6612931614
22	0.660465803
23	0.6597788225
24	0.6590770781
25	0.658522779
26	0.6579941351
27	0.6574229906
28	0.656915113
29	0.656324122
30	0.6557983341
31	0.655377878
32	0.6549351067
33	0.6544851713
34	0.6539363904
35	0.6535718919
36	0.6532585103
37	0.6527737708
38	0.6524858025
39	0.652159206
40	0.6518961668
41	0.6513748323
42	0.6509922298
43	0.6506197927
44	0.6503272742
45	0.6500415325
46	0.6498078759
47	0.649499819
48	0.649215239
49	0.6488732494
50	0.6485872173
51	0.6483769408
52	0.6480640917
53	0.6477655708
54	0.6474314714
55	0.6472119009
56	0.6469686599
57	0.6467447329
58	0.6465398296
59	0.6462430029
60	0.6459716379
61	0.6458011513
62	0.6455743199
63	0.6453269644
64	0.6451578332
65	0.6450070963
66	0.6448330761
67	0.6446786604
68	0.6445424938
69	0.6443657145
70	0.644222287
71	0.6440583353
72	0.6439283647
73	0.6437832429
74	0.6434945969
75	0.6432993748
76	0.6431664514
77	0.6430083084
78	0.6428689955
79	0.6427674393
80	0.6425902243
81	0.6424715807
82	0.6423217152
83	0.6421848225
84	0.6420397976
85	0.641925559
86	0.6418101587
87	0.6416802365
88	0.6415741302
89	0.6414702505
90	0.6412609422
91	0.6411281157
92	0.6410098594
93	0.640889086
94	0.640765989
95	0.6405549381
96	0.6404497999
97	0.6402956746
98	0.6402039449
99	0.6400890286
100	0.6399946366
101	0.6398886755
102	0.6397415691
103	0.6396359468
104	0.6395316799
105	0.6393590151
106	0.6391809287
107	0.6389332343
108	0.6387653133
109	0.6386785694
110	0.6385092446
111	0.6383985881
112	0.6383148938
113	0.6382344911
114	0.6381238346
115	0.6380141462
116	0.6378530505
117	0.6377602558
118	0.6376889535
119	0.6376090833
120	0.6374810974
121	0.6373336038
122	0.6372219791
123	0.6371620039
124	0.6370351797
125	0.6369464996
126	0.6368604334
127	0.6367459528
128	0.6366801688
129	0.6365918759
130	0.636514668
131	0.63642623
132	0.636329224
133	0.6362328957
134	0.6361836182
135	0.6361028283
136	0.6360446441
137	0.6359617727
138	0.6358163605
139	0.6357370228
140	0.6356272376
141	0.6354960568
142	0.6354406318
143	0.6353779458
144	0.6353194711
145	0.6352570271
146	0.6351912915
147	0.6351145677
148	0.6350440399
149	0.6349718179
